mean_spectral_centroid,std_spectral_centroid,mean_spectral_bandwidth,std_spectral_bandwidth,mean_spectral_contrast,mean_spectral_flatness,mean_spectral_rolloff,zero_crossing_rate,rms_energy,mean_pitch,min_pitch,max_pitch,std_pitch,spectral_skew,spectral_kurtosis,energy_entropy,log_energy,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,label
1999.1997588366346,1251.1908314918462,1672.2606113163035,394.9374888433872,20.12537621995223,0.031140486,3733.5597826086955,0.1555366847826087,0.053678922,1506.9795,152.57921,3995.1736,1181.3593,1.4848901972927047,1.3892516795297745,23.620794,1.8201973,-268.2479,126.84475,79.361435,54.27609,0.83697003,37.780712,28.699417,29.971418,-9.16962,22.728714,10.19586,15.713179,-6.9078603,14.345613,-11.84713,20.020172,-2.4390352,13.625965,-4.13082,13.960292,-15.071655,10.762839,-1.4168091,11.100139,-10.5118475,9.219218,0
1396.195163928561,897.8593483897417,1401.7153253718855,484.46181351989225,21.3963043349701,0.0099803535,2684.1875,0.08882421875,0.09168924,1162.6168,155.33292,3995.5732,956.53357,2.5037840573689447,6.909614643731016,35.813107,2.4389634,-265.26685,109.469574,100.00348,48.6131,-4.2713413,37.607986,26.98841,27.965857,-14.21586,23.829098,-1.8040268,17.53511,-23.801207,20.654219,-10.740582,15.174383,-13.846916,17.227707,-2.4017007,10.596535,-7.9962964,12.218775,-6.6534047,13.861348,-2.2060173,9.67539,0
1683.1337781085554,1328.7416878184483,1496.637954064423,497.3921150229762,20.43832664088776,0.018553762,3079.9126059322034,0.12286480402542373,0.08159035,1280.5367,153.19989,3984.9001,1098.1089,1.898686247145175,2.6922910424336335,31.734955,2.2646403,-262.54718,117.24977,92.12932,61.97043,4.80502,40.383663,21.073866,26.630466,-11.671398,24.55902,5.4851904,20.916256,-6.910289,18.657637,1.4710162,14.424281,-5.692576,14.636864,3.0268734,12.174751,-17.304638,12.921472,2.6213133,10.397459,-10.262294,10.428829,0
1625.754759331721,1286.4461767980233,1457.6763861202119,618.5950816753956,21.164878995944047,0.026277065,3047.3232581967213,0.12511606685450818,0.103614,1444.6365,152.80577,3991.4553,1182.9819,1.5418346649226957,1.5866971032597297,37.2086,2.5369382,-267.04733,103.52406,87.71641,63.48284,3.6279638,44.48955,22.838448,28.095549,-9.054699,23.703981,6.286307,16.07965,-3.9229767,14.190134,-5.5523133,14.700135,-2.6681156,15.117499,-5.7080874,10.345853,-9.757476,8.783959,-2.9139194,8.468823,-8.258378,9.146142,0
1946.7050410391223,1065.877991267319,1698.3022711776357,324.41257635252725,21.32342529045347,0.026024329,3770.3869047619046,0.13335193452380953,0.090488635,1633.0511,153.95457,3973.6907,1146.1682,1.5966209656579202,2.33331556108329,30.31334,2.2514293,-244.46873,106.58529,61.054928,41.608604,-0.9345388,34.52874,38.509434,26.153324,-23.096943,23.32769,3.2630398,15.172276,-20.168808,19.908714,5.7894225,13.83605,-24.635017,17.611004,-5.1181636,9.153461,-10.595976,9.483828,-5.57588,12.907943,-4.5782866,10.258443,0
2021.3463064840955,1192.2032398086208,1756.4070250124275,424.41224930757136,22.050053960419618,0.027497664,3768.2783018867926,0.12833965949292453,0.09374665,1570.1426,155.5516,3994.1414,1294.925,0.9821495308121254,-0.13850771595865652,31.618382,2.2962797,-212.6549,70.833755,68.672775,46.90767,17.933558,32.190178,41.659954,25.840593,-14.899499,19.668295,-5.8232055,13.421616,-11.366689,13.623963,-8.475605,13.091536,-12.882274,8.533085,-3.7735918,10.671691,-5.1936655,6.740777,-6.242685,11.882149,-2.4527938,7.726699,0
1771.898774464597,930.6192580673888,1594.454857416352,395.77266103430827,20.967818986692183,0.030875182,3459.296875,0.1149853515625,0.09647069,1593.0745,153.88174,3990.7898,1133.7754,1.5296461460300863,2.0811033652062854,29.552187,2.2666543,-217.39458,93.94946,81.54794,44.113056,-10.88209,35.0652,43.56226,30.940191,-17.044884,20.844385,-3.5659008,15.142956,-14.473904,15.733243,-9.129103,13.576506,-7.456612,9.700474,-2.9532096,15.347201,-0.10647068,10.590659,-3.396178,12.140477,3.3486884,9.43354,0
1895.5676212662045,1081.1380007422033,1630.3955496172864,335.8688673540659,21.270254205945616,0.026796488,3604.98046875,0.14587910970052084,0.092014015,1703.8275,152.59412,3995.6472,1195.0956,1.641795807878469,2.310749076362101,28.099346,2.1785338,-212.01472,90.954926,72.90003,49.63194,-6.3522696,36.30027,48.43668,30.877522,-6.185728,17.590836,1.5575017,14.445809,-3.996521,14.147077,-14.2872,15.623922,-6.0664353,12.972076,-10.907134,13.989456,-18.899984,11.967125,-4.4490857,9.120644,-10.409276,9.712015,0
1584.9178294261767,961.2404138239871,1481.4540167298578,422.37114600267097,21.99843633280244,0.02690251,3015.84002293578,0.11057106508027523,0.10194223,1614.8359,153.71407,3992.3652,1156.721,1.5349323184939019,1.8948187676199835,33.517754,2.4079988,-252.90369,91.31943,81.32098,40.11866,-6.339747,36.06575,44.64742,30.06249,-19.41589,19.641685,-6.735114,14.822791,-29.172222,20.257874,-6.870887,11.84892,-21.814669,13.745113,-4.4491234,11.020801,-11.221816,9.220405,-11.316576,16.480446,-1.8585807,9.844585,0
1919.763230208857,1340.4325837266638,1627.5456352436986,443.96859356529126,21.508230547473783,0.03090552,3548.112623762376,0.14602026608910892,0.1283074,1785.6198,154.82727,3994.5623,1294.0023,1.3428161725843912,0.7181253986851943,34.879948,2.5617943,-216.5333,98.03014,68.670456,50.622456,7.352186,38.594074,30.441034,24.490252,-17.371187,24.600061,1.2864082,14.360107,-11.83406,18.019573,-1.1007957,14.734659,-10.512627,13.270221,-2.7436192,9.557773,-17.641546,12.14576,-0.21401916,11.707487,-13.264525,13.080441,0
